player_id,draft_round,draft_position,draft_year,position_cleaned,year,passing_attempts,passing_completions,passing_yards,passing_rating,passing_touchdowns,passing_interceptions,passing_sacks,passing_sacks_yards_lost,rushing_attempts,rushing_yards,rushing_touchdowns,receiving_targets,receiving_receptions,receiving_yards,receiving_touchdowns,kick_return_yards,kick_return_touchdowns,punt_return_yards,punt_return_touchdowns,total_passing_fantasy_points,total_rushing_fantasy_points,total_receiving_fantasy_points,total_other_fantasy_points,total_combined_fantasy_points
18099,2,64,2009,TE,2010,0,0,0,0,0,0,0,0,0,0,0,2,1,9,0,0,0,0,0,0,0,1.9,0,1.9
18099,2,64,2009,TE,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18418,13,349,1976,RB,1976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21419,2,24,1958,RB,1960,0,0,0,0,0,0,0,0,28,78,0,0,3,11,0,153,0,0,0,0,7.8,4.1,0,11.9
7657,5,79,1966,RB,1966,0,0,0,0,0,0,0,0,16,62,1,0,2,18,0,474,0,0,0,0,12.2,3.8,0,16
7657,5,79,1966,RB,1967,0,0,0,0,0,0,0,0,33,179,0,0,2,17,0,366,0,0,0,0,17.9,3.7,0,21.6
7657,5,79,1966,RB,1968,0,0,0,0,0,0,0,0,46,277,5,0,9,119,1,0,0,0,0,0,57.7,26.9,0,84.6
7657,5,79,1966,RB,1969,0,0,0,0,0,0,0,0,185,867,2,0,15,146,0,2,0,0,0,0,98.7,29.6,0,128.3
7657,5,79,1966,RB,1970,0,0,0,0,0,0,0,0,172,715,3,0,28,283,3,0,0,0,0,0,89.5,74.3,0,163.8
7657,5,79,1966,RB,1971,0,0,0,0,0,0,0,0,157,557,1,0,43,399,1,0,0,0,0,0,61.7,88.9,0,150.6
7657,5,79,1966,RB,1972,0,0,0,0,0,0,0,0,183,814,7,0,42,432,3,0,0,0,0,0,123.4,103.2,0,226.6
7657,5,79,1966,RB,1973,0,1,0,2.64,0,0,0,0,120,479,6,0,28,286,2,0,0,0,0,0,83.9,68.6,0,152.5
7657,5,79,1966,RB,1974,0,0,0,0,0,0,0,0,113,429,5,0,34,253,1,0,0,0,0,0,72.9,65.3,0,138.2
21142,3,66,1971,WR,1972,0,0,0,0,0,0,0,0,0,0,0,0,1,19,1,0,0,0,0,0,0,8.9,0,8.9
21142,3,66,1971,WR,1973,0,0,0,0,0,0,0,0,1,11,0,0,1,23,0,0,0,0,0,0,1.1,3.3,0,4.4
20775,,,,RB,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20144,,,,TE,1979,0,0,0,0,0,0,0,0,0,0,0,0,3,43,1,0,0,0,0,0,0,13.3,0,13.3
16173,5,164,2002,QB,2003,0,0,0,0,0,0,0,0,2,-2,0,0,0,0,0,0,0,0,0,0,-0.2,0,0,-0.2
16173,5,164,2002,QB,2004,23,33,314,102.24,4,0,2,8,3,7,0,0,0,0,0,0,0,0,0,34.56,0.7,0,0,35.26
16173,5,164,2002,QB,2007,7,15,88,87.6,1,0,1,10,5,6,0,0,0,0,0,0,0,0,0,8.52,0.6,0,0,9.12
19280,1,1,2007,QB,2007,36,66,373,59.9,2,4,6,40,5,4,0,0,0,0,0,0,0,0,0,12.92,0.4,0,0,13.32
19280,1,1,2007,QB,2008,198,368,2423,79.17333333,13,8,31,210,17,127,1,0,0,0,0,0,0,0,0,127.92,18.7,0,0,146.62
19280,1,1,2007,QB,2009,120,246,1287,53.46666667,3,11,33,207,18,44,0,0,0,0,0,0,0,0,0,14.48,4.4,0,0,18.88
14382,,,,RB,1952,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0.2
13506,,,,RB,2009,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0,1466,0,280,0,0,0,1.5,0,1.5
