,player_id,weight,current_team,college,draft_team,draft_round,draft_position,draft_year,position_cleaned,year,game_location,player_age,passing_attempts,passing_completions,passing_yards,passing_rating,passing_touchdowns,passing_interceptions,passing_sacks,passing_sacks_yards_lost,rushing_attempts,rushing_yards,rushing_touchdowns,receiving_targets,receiving_receptions,receiving_yards,receiving_touchdowns,kick_return_yards,kick_return_touchdowns,punt_return_yards,punt_return_touchdowns,total_passing_fantasy_points,total_rushing_fantasy_points,total_receiving_fantasy_points,total_other_fantasy_points,total_combined_fantasy_points,height_inches
29321,8316,250.0,Miami Dolphins,Minnesota,None,0.0,0.0,0.0,TE,2017,H,10212.2,0,1,0,7.92,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0.0,0.3,0.0,0,0.3,76.0
30023,9567,240.0,None,Duke,None,0.0,0.0,0.0,TE,2015,A,9674.375,0,0,0,0.0,0,0,0,0,0,0,0,12,7,75,0,0,0,0,0,0.0,0.0,14.5,0,14.5,76.0
30024,9567,240.0,None,Duke,None,0.0,0.0,0.0,TE,2015,H,9659.642857142857,0,0,0,0.0,0,0,0,0,0,0,0,10,6,55,0,0,0,0,0,0.0,0.0,11.5,0,11.5,76.0
30079,20931,270.0,None,Minnesota,Pittsburgh Steelers,3.0,77.0,2007.0,TE,2015,A,11687.0,0,0,0,0.0,0,0,0,0,0,0,0,3,2,7,0,0,0,0,0,0.0,0.0,2.7,0,2.7,79.0
30080,20931,270.0,None,Minnesota,Pittsburgh Steelers,3.0,77.0,2007.0,TE,2015,H,11670.45,0,0,0,0.0,0,0,0,0,0,0,0,1,1,4,0,0,0,0,0,0.0,0.0,1.4,0,1.4,79.0
30715,1440,263.0,Minnesota Vikings,Oklahoma,San Francisco 49ers,4.0,117.0,2015.0,TE,2015,A,8860.0,0,0,0,0.0,0,0,0,0,0,0,0,12,7,71,0,0,0,0,0,0.0,0.0,14.1,0,14.1,78.0
30716,1440,263.0,Minnesota Vikings,Oklahoma,San Francisco 49ers,4.0,117.0,2015.0,TE,2015,H,8860.142857142857,0,0,0,0.0,0,0,0,0,0,0,0,13,8,115,0,0,0,0,0,0.0,0.0,19.5,0,19.5,78.0
30717,1440,263.0,Minnesota Vikings,Oklahoma,San Francisco 49ers,4.0,117.0,2015.0,TE,2016,A,9223.416666666666,0,0,0,0.0,0,0,0,0,0,0,0,5,2,51,0,0,0,0,0,0.0,0.0,7.1,0,7.1,78.0
30718,1440,263.0,Minnesota Vikings,Oklahoma,San Francisco 49ers,4.0,117.0,2015.0,TE,2016,H,9209.964285714286,0,0,0,0.0,0,0,0,0,0,0,0,4,2,34,0,0,0,0,0,0.0,0.0,5.4,0,5.4,78.0
30719,1440,263.0,Minnesota Vikings,Oklahoma,San Francisco 49ers,4.0,117.0,2015.0,TE,2017,A,9574.9,0,0,0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,78.0
30720,1440,263.0,Minnesota Vikings,Oklahoma,San Francisco 49ers,4.0,117.0,2015.0,TE,2017,H,9561.0,0,0,0,0.0,0,0,0,0,0,0,0,1,1,12,0,0,0,0,0,0.0,0.0,2.2,0,2.2,78.0
31441,816,258.0,None,Ala-Birmingham,Green Bay Packers,6.0,213.0,2015.0,TE,2015,A,8308.75,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,75.0
31442,816,258.0,None,Ala-Birmingham,Green Bay Packers,6.0,213.0,2015.0,TE,2015,H,8310.75,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,75.0
31740,22797,260.0,None,Monmouth,None,0.0,0.0,0.0,TE,2016,A,8768.75,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,77.0
31741,22797,260.0,None,Monmouth,None,0.0,0.0,0.0,TE,2016,H,8765.125,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,77.0
32129,18959,257.0,Green Bay Packers,California,Green Bay Packers,3.0,98.0,2014.0,TE,2015,A,8707.15,0,0,0,0.0,0,0,0,0,1,11,0,54,35,325,4,0,0,0,0,0.0,1.1,91.5,0,92.6,76.0
32130,18959,257.0,Green Bay Packers,California,Green Bay Packers,3.0,98.0,2014.0,TE,2015,H,8687.875,0,0,0,0.0,0,0,0,0,0,0,0,43,30,241,4,0,0,0,0,0.0,0.0,78.1,0,78.1,76.0
32131,18959,257.0,Green Bay Packers,California,Green Bay Packers,3.0,98.0,2014.0,TE,2016,A,9072.525,0,0,0,0.0,0,0,0,0,0,0,0,21,14,160,1,0,0,0,0,0.0,0.0,36.0,0,36.0,76.0
32132,18959,257.0,Green Bay Packers,California,Green Bay Packers,3.0,98.0,2014.0,TE,2016,H,9062.333333333334,0,0,0,0.0,0,0,0,0,0,0,0,28,17,145,2,0,0,0,0,0.0,0.0,43.5,0,43.5,76.0
32133,18959,257.0,Green Bay Packers,California,Green Bay Packers,3.0,98.0,2014.0,TE,2017,A,9404.25,0,0,0,0.0,0,0,0,0,0,0,0,9,5,71,0,0,0,0,0,0.0,0.0,12.1,0,12.1,76.0
32134,18959,257.0,Green Bay Packers,California,Green Bay Packers,3.0,98.0,2014.0,TE,2017,H,9395.75,0,0,0,0.0,0,0,0,0,0,0,0,3,2,8,0,0,0,0,0,0.0,0.0,2.8,0,2.8,76.0
32454,7687,260.0,Los Angeles Chargers,Kent St.,None,0.0,0.0,0.0,TE,2015,A,12948.416666666664,0,0,0,0.0,0,0,0,0,0,0,0,42,28,325,3,0,0,0,0,0.0,0.0,78.50000000000001,0,78.50000000000001,76.0
32455,7687,260.0,Los Angeles Chargers,Kent St.,None,0.0,0.0,0.0,TE,2015,H,12938.35,0,0,0,0.0,0,0,0,0,0,0,0,43,28,305,2,0,0,0,0,0.0,0.0,70.5,0,70.5,76.0
32456,7687,260.0,Los Angeles Chargers,Kent St.,None,0.0,0.0,0.0,TE,2016,A,13289.857142857143,0,0,0,0.0,0,0,0,0,0,0,0,50,29,276,3,0,0,0,0,0.0,0.0,74.6,0,74.6,76.0
32457,7687,260.0,Los Angeles Chargers,Kent St.,None,0.0,0.0,0.0,TE,2016,H,13298.571428571433,0,0,0,0.0,0,0,0,0,0,0,0,43,24,272,4,0,0,0,0,0.0,0.0,75.20000000000002,0,75.20000000000002,76.0
32458,7687,260.0,Los Angeles Chargers,Kent St.,None,0.0,0.0,0.0,TE,2017,A,13639.916666666664,0,0,0,0.0,0,0,0,0,0,0,0,13,8,84,0,0,0,0,0,0.0,0.0,16.4,0,16.4,76.0
32459,7687,260.0,Los Angeles Chargers,Kent St.,None,0.0,0.0,0.0,TE,2017,H,13629.05,0,0,0,0.0,0,0,0,0,0,0,0,17,8,63,1,0,0,0,0,0.0,0.0,20.3,0,20.3,76.0
32599,16815,254.0,Carolina Panthers,Miami (FL),Chicago Bears,1.0,31.0,2007.0,TE,2015,A,11203.5,0,0,0,0.0,0,0,0,0,0,0,0,63,42,568,2,0,0,0,0,0.0,0.0,110.8,0,110.8,78.0
32600,16815,254.0,Carolina Panthers,Miami (FL),Chicago Bears,1.0,31.0,2007.0,TE,2015,H,11213.6,0,0,0,0.0,0,0,0,0,0,0,0,75,47,726,6,0,0,0,0,0.0,0.0,155.60000000000005,0,155.60000000000005,78.0
32601,16815,254.0,Carolina Panthers,Miami (FL),Chicago Bears,1.0,31.0,2007.0,TE,2015,N,11290.5,0,0,0,0.0,0,0,0,0,0,0,0,9,4,41,0,0,0,0,0,0.0,0.0,8.1,0,8.1,78.0
32602,16815,254.0,Carolina Panthers,Miami (FL),Chicago Bears,1.0,31.0,2007.0,TE,2016,A,11566.875,0,0,0,0.0,0,0,0,0,0,0,0,61,40,477,2,0,0,0,0,0.0,0.0,99.7,0,99.7,78.0
32603,16815,254.0,Carolina Panthers,Miami (FL),Chicago Bears,1.0,31.0,2007.0,TE,2016,H,11559.75,0,0,0,0.0,0,0,0,0,0,0,0,68,40,596,1,0,0,0,0,0.0,0.0,105.6,0,105.6,78.0
