,player_id,weight,draft_round,draft_position,draft_year,game_location,position_cleaned,height_inches,year,player_age,passing_attempts,passing_completions,passing_yards,passing_rating,passing_touchdowns,passing_interceptions,passing_sacks,passing_sacks_yards_lost,rushing_attempts,rushing_yards,rushing_touchdowns,receiving_targets,receiving_receptions,receiving_yards,receiving_touchdowns,kick_return_yards,kick_return_touchdowns,punt_return_yards,punt_return_touchdowns,total_passing_fantasy_points,total_rushing_fantasy_points,total_receiving_fantasy_points,total_other_fantasy_points,total_combined_fantasy_points
130,18802,196,0,0,0,H,WR,74,2017,9739.166667,0,0,0,0.0,0,0,0,0,0,0,0,26,13,146,0,0,0,0,0,0.0,0.0,27.6,0,27.6
137,24742,194,1,20,2012,A,WR,70,2017,10201.0,0,0,0,0.0,0,0,0,0,0,0,0,30,17,194,1,0,0,0,0,0.0,0.0,42.4,0,42.4
138,24742,194,1,20,2012,H,WR,70,2017,10200.16667,0,0,0,0.0,0,0,0,0,0,0,0,21,14,151,0,0,0,0,0,0.0,0.0,29.1,0,29.1
139,4066,220,0,0,0,A,RB,70,2017,8373.55,0,0,0,0.0,0,0,0,0,18,82,1,0,0,0,0,0,0,0,0,0.0,14.2,0.0,0,14.2
140,4066,220,0,0,0,H,RB,70,2017,8392.083333,0,0,0,0.0,0,0,0,0,40,177,3,5,4,58,2,35,0,0,0,0.0,35.7,21.8,0,57.5
145,10467,195,0,0,0,A,WR,71,2017,8893.0,0,0,0,0.0,0,0,0,0,0,0,0,32,22,195,0,0,0,7,0,0.0,0.0,41.5,0,41.5
146,10467,195,0,0,0,H,WR,71,2017,8877.0,0,0,0,0.0,0,0,0,0,0,0,0,25,17,182,0,0,0,0,0,0.0,0.0,35.2,0,35.2
148,9636,228,2,57,2008,H,QB,75,2017,11772.0,0,2,0,39.6,0,0,0,0,3,-3,0,0,0,0,0,0,0,0,0,0.0,-0.3,0.0,0,-0.3
151,13610,215,4,114,2016,A,WR,74,2017,8610.95,0,0,0,0.0,0,0,0,0,0,0,0,23,8,77,0,0,0,0,0,0.0,0.0,15.7,0,15.7
152,13610,215,4,114,2016,H,WR,74,2017,8606.75,0,0,0,0.0,0,0,0,0,0,0,0,34,18,245,0,0,0,0,0,0.0,0.0,42.5,0,42.5
157,14580,212,3,81,2002,A,QB,76,2017,13975.5,105,159,1018,91.44,8,5,17,120,12,29,2,0,0,0,0,0,0,0,0,61.72,14.9,0.0,0,76.62
158,14580,212,3,81,2002,H,QB,76,2017,13989.0,130,190,1531,104.0,9,3,18,125,16,69,1,0,0,0,0,0,0,0,0,91.24,12.9,0.0,0,104.14
